Ontology	Scp	Target_gene_symbol	Organism	ReadWrite_references
Custom_transmembrane_transport	NHE4 (SLC9A4)	SLC9A4	Homo_sapiens	PMID: 24692143;UniProt
Custom_transmembrane_transport	NHE5 (SLC9A5)	SLC9A5	Homo_sapiens	NCBI
Custom_transmembrane_transport	NHE6 (SLC9A6)	SLC9A6	Homo_sapiens	UniProt
Custom_transmembrane_transport	NHE7 (SLC9A7)	SLC9A7	Homo_sapiens	UniProt
Custom_transmembrane_transport	NHE8 (SLC9A8)	SLC9A8	Homo_sapiens	NCBI
Custom_transmembrane_transport	NHE9 (SLC9A9)	SLC9A9	Homo_sapiens	Entrez Gene online
Custom_transmembrane_transport	NKCC1 (SLC12A2)	SLC12A2	Homo_sapiens	Tocris Summary
Custom_transmembrane_transport	NKCC2 (SLC12A1)	SLC12A1	Homo_sapiens	NCBI
Custom_transmembrane_transport	NPT1 (SLC17A1)	SLC17A1	Homo_sapiens	PMID: 34290818;UniProt
Custom_transmembrane_transport	NPT2a (SLC34A1)	SLC34A1	Homo_sapiens	UniProt;PMID: 32353243
Custom_transmembrane_transport	NPT2b (SLC34A2)	SLC34A2	Homo_sapiens	NCBI;PMID: 32353243
Custom_transmembrane_transport	NPT2c (SLC34A3)	SLC34A3	Homo_sapiens	NCBI;PMID: 32353243
Custom_transmembrane_transport	NPT4 (SLC17A3)	SLC17A3	Homo_sapiens	PMID: 34290818;UniProt online
Custom_transmembrane_transport	NTCP (SLC10A1)	SLC10A1	Homo_sapiens	NCBI
Custom_transmembrane_transport	NTT4 (SLC6A17)	SLC6A17	Homo_sapiens	UniProt online
Custom_transmembrane_transport	NTT5 (SLC6A16)	SLC6A16	Homo_sapiens	UniProt online;PMID: 24692143
Custom_transmembrane_transport	OCT6 (SLC22A16)	SLC22A16	Homo_sapiens	NCBI
Custom_transmembrane_transport	OCTN1 (SLC22A4)	SLC22A4	Homo_sapiens	NCBI
Custom_transmembrane_transport	OCTN2 (SLC22A5)	SLC22A5	Homo_sapiens	UniProt
Custom_transmembrane_transport	PiT-1 (SLC20A1)	SLC20A1	Homo_sapiens	GeneCards-online-2021May24;PMID: 32353243
Custom_transmembrane_transport	PiT-2 (SLC20A2)	SLC20A2	Homo_sapiens	GeneCards-online-2021May24;PMID: 32353243
Custom_transmembrane_transport	Potassium vs sodium antiporter	SLC24A1	Homo_sapiens	UniProt
Custom_transmembrane_transport	Potassium vs sodium antiporter	SLC24A2	Homo_sapiens	NCBI
Custom_transmembrane_transport	Potassium vs sodium antiporter	SLC24A3	Homo_sapiens	NCBI
Custom_transmembrane_transport	Potassium vs sodium antiporter	SLC24A4	Homo_sapiens	NCBI
Custom_transmembrane_transport	Potassium vs sodium antiporter	SLC24A5	Homo_sapiens	UniProt online
Custom_transmembrane_transport	Potassium vs sodium antiporter	SLC8B1	Homo_sapiens	NCBI
