Ontology	ProcessName	Symbol	Organism	ReadWrite_references
Mbco_na_glucose_tm_transport_human	OCTN1 (SLC22A4)	SLC22A4	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	OCTN2 (SLC22A5)	SLC22A5	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	PiT-1 (SLC20A1)	SLC20A1	Homo_sapiens	GeneCards-online-2021May24;PMID: 32353243
Mbco_na_glucose_tm_transport_human	PiT-2 (SLC20A2)	SLC20A2	Homo_sapiens	GeneCards-online-2021May24;PMID: 32353243
Mbco_na_glucose_tm_transport_human	Potassium vs sodium antiporter	SLC24A1	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Potassium vs sodium antiporter	SLC24A2	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Potassium vs sodium antiporter	SLC24A3	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Potassium vs sodium antiporter	SLC24A4	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Potassium vs sodium antiporter	SLC24A5	Homo_sapiens	UniProt online
Mbco_na_glucose_tm_transport_human	Potassium vs sodium antiporter	SLC8B1	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	PROT (SLC6A7)	SLC6A7	Homo_sapiens	UniProt;PMID: 33072764
Mbco_na_glucose_tm_transport_human	S17A4 (SLC17A4)	SLC17A4	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	SERT (SLC6A4)	SLC6A4	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	SGLT1 (SLC5A1)	SLC5A1	Homo_sapiens	NCBI;PMID: 23506864
Mbco_na_glucose_tm_transport_human	SGLT2 (SLC5A2)	SLC5A2	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	SGLT4 (SLC5A9)	SLC5A9	Homo_sapiens	PMID: 15607332;GeneCards-online-2021May24
Mbco_na_glucose_tm_transport_human	SGLT5 (SLC5A10)	SLC5A10	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	SIT1 (SLC6A20)	SLC6A20	Homo_sapiens	UniProt;PMID: 33072764
Mbco_na_glucose_tm_transport_human	SLC17A2	SLC17A2	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	SMCT1 (SLC5A8)	SLC5A8	Homo_sapiens	UniProt online
Mbco_na_glucose_tm_transport_human	SMCT2 (SLC5A12)	SLC5A12	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	SMIT1 (SLC5A3)	SLC5A3	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	SMIT2 (SLC5A11)	SLC5A11	Homo_sapiens	NCBI;PMID: 24944204
Mbco_na_glucose_tm_transport_human	SMVT (SLC5A)	SLC5A6	Homo_sapiens	NCBI;PMID: 22420308
Mbco_na_glucose_tm_transport_human	SNAT1 (SLC38A1)	SLC38A1	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	SNAT2 (SLC38A2)	SLC38A2	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	SNAT3 (SLC38A3)	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	SNAT4 (SLC38A4)	SLC38A4	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	SNAT5 (SLC38A5)	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	SNAT6 (SLC38A6)	SLC38A6	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	SNAT7 (SLC38A7)	SLC38A7	Homo_sapiens	Gen
Mbco_na_glucose_tm_transport_human	SNAT8 (SLC38A8)	SLC38A8	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	SOAT (SLC10A6)	SLC10A6	Homo_sapiens	Full gene name
Mbco_na_glucose_tm_transport_human	Sodium acetylcholine symporter	SLC22A4	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Sodium alanine symporter	SLC6A17	Homo_sapiens	UniProt online
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter	SLC1A1	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter	SLC1A2	Homo_sapiens	PMID:21186281
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter	SLC1A3	Homo_sapiens	PMID:21186281
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter	SLC38A10	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter	SLC38A11	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter	SLC38A9	Homo_sapiens	PMID:21186281
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter	SLC6A15	Homo_sapiens	UniProt online;PMID: 24692143
